,_id,symbol,name,categories,createdAt,enabledAttributesFilters,isDraft,isDerivative,nftImageType,totalItems,updatedAt,isFlagged,version
349,61f574757381c1001066bd0d,defi_pirates,DeFi Pirates,['pfps'],2022-01-29T17:08:04.186Z,True,False,False,,,2022-04-18T16:08:48.383Z,,v4
14,61f574757381c1001066bd0d,defi_pirates,DeFi Pirates,['pfps'],2022-01-29T17:08:04.186Z,True,False,False,,,,,v1
221,61f574757381c1001066bd0d,defi_pirates,DeFi Pirates,['pfps'],2022-01-29T17:08:04.186Z,True,False,False,,,2022-04-03T14:17:53.611Z,,v3
264,62394bbc629c67001079979d,defiland_gen0,DeFi Land Gen-0 NFTs,['games'],2022-03-22T04:08:27.307Z,True,False,False,,,,,v4
111,62394bbc629c67001079979d,defiland_gen0,DeFi Land Gen-0 NFTs,['games'],2022-03-22T04:08:27.307Z,True,False,False,,,,,v2
168,62394bbc629c67001079979d,defiland_gen0,DeFi Land Gen-0 NFTs,['games'],2022-03-22T04:08:27.307Z,True,False,False,,,,,v3
302,6251af5d95f92c7e1dc455c2,degendojonft,Degen Dojo,"['art', 'pfps']",2022-04-09T16:07:57.409Z,True,False,False,,0.0,2022-04-18T16:23:20.197Z,,v4
96,6157c7783d226d6a3c9d2498,degenerate_ape_academy,Degenerate Ape Academy,['pfps'],2021-10-02T02:44:08.852Z,True,False,False,,10009.0,,,v2
33,6157c7783d226d6a3c9d2498,degenerate_ape_academy,Degenerate Ape Academy,['pfps'],2021-10-02T02:44:08.852Z,True,False,False,,10009.0,,,v1
183,6157c7783d226d6a3c9d2498,degenerate_ape_academy,Degenerate Ape Academy,['pfps'],2021-10-02T02:44:08.852Z,True,False,False,,10009.0,2022-04-01T21:57:57.899Z,False,v3
328,6157c7783d226d6a3c9d2498,degenerate_ape_academy,Degenerate Ape Academy,['pfps'],2021-10-02T02:44:08.852Z,True,False,False,,10009.0,2022-04-18T15:58:39.129Z,False,v4
339,61f337c7ee72e80010278b68,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,"['pfps', 'games']",2022-01-28T00:24:38.289Z,True,False,False,,,2022-04-18T14:49:25.133Z,,v4
89,61f337c7ee72e80010278b68,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,"['pfps', 'games']",2022-01-28T00:24:38.289Z,True,False,False,,,,,v2
187,61f337c7ee72e80010278b68,degenerate_ape_kindergarten,Degenerate Ape Kindergarten,"['pfps', 'games']",2022-01-28T00:24:38.289Z,True,False,False,,,2022-04-03T12:29:39.677Z,,v3
189,619a42d2aa12d5001006530d,degenerate_trash_pandas,Degenerate Trash Pandas,['pfps'],2021-11-21T13:00:01.384Z,True,False,,,,2022-04-03T14:43:36.601Z,,v3
341,619a42d2aa12d5001006530d,degenerate_trash_pandas,Degenerate Trash Pandas,['pfps'],2021-11-21T13:00:01.384Z,True,False,False,,,2022-04-18T15:56:56.519Z,False,v4
199,62472271bea360023d53c062,degens,DeGens,"['pfps', None]",2022-04-01T16:04:01.084Z,True,,True,,3333.0,2022-04-03T14:29:23.191Z,False,v3
279,62472271bea360023d53c062,degens,DeGens,"['pfps', None]",2022-04-01T16:04:01.084Z,True,,True,,3333.0,2022-04-03T14:29:23.191Z,False,v4
